Order,Exam #,Question #,Difficulty Level,Domain,Question Text,Selection Criteria,Selections,Correct Answers & Selections,# of Choices,# of Correct,Occurrence,Success,Fail,Exam Number,Unnamed: 15,Unnamed: 16
199,Exam 4,Question 24,Medium,Database Management,"Which of the following indicates the type of relationship for the bi-directionally related tables, and the related records are visible from both tables in a related list?",,Parent/Child + Referenced + One to Many + MetricBase + Many to Many + Extended + Database View,Many to Many,7,1,17,0,0,1,,
200,Exam 4,Question 25,Easy,Configuring Applications for Collaboration,Which field data type adds a report to a form?,,PDF + Pivot + Percent Complete + Link + Chart,Chart,5,1,13,0,0,0,,
201,Exam 4,Question 26,Easy,Self-Service & Automation,What are the three different request methods in the Service Catalogue?,Select 3 Answers from the below options.,Save + Wish List + Order + Request + Submit,Order + Request + Submit,5,3,15,0,0,0,,
202,Exam 4,Question 27,Easy,Database Management,What represents a standard and shared set of service-related definitions across the products and platform that will provide prescriptive guidance on service modelling within the CMDB?,,Configuration Management Database (CMDB) + Configuration Item (CI) + Common Services Data Model (CSDM) + Configuration Management System (CMS),Common Services Data Model (CSDM),4,1,12,0,0,0,,
203,Exam 4,Question 28,Easy,Self-Service & Automation,Who can contribute if no User Criteria are specified for 'Can Contribute' in a Knowledge Base?,,Knowledge Base Managers + All users + User Criteria Admins + No one,Knowledge Base Managers,4,1,9,0,0,0,,
204,Exam 4,Question 29,Hard,Database Management,Which of the following is true about the CMDB Data Manager?,Select 3 Answers from the below options.,It is a wizard-like tool that provides a comprehensive solution for managing CIs. + It can create policies that govern CI life cycle stages such as retirement and deletion. + It is a framework that supports multiple configuration strategies. + It is a policy-driven framework for managing CI life cycle operations.,It is a wizard-like tool that provides a comprehensive solution for managing CIs. + It can create policies that govern CI life cycle stages such as retirement and deletion. + It is a policy-driven framework for managing CI life cycle operations.,4,3,16,0,0,0,,
205,Exam 4,Question 30,Easy,Configuring Applications for Collaboration,What application/functionality allows you to generate a report by entering a query instead of going through the full Report Designer menu?,,Process Automation Designer + Analytics Q&A + Virtual Agent + Performance Analytics,Analytics Q&A,4,1,15,0,0,0,,
206,Exam 4,Question 31,Hard,Configuring Applications for Collaboration,"Enhanced notification preferences enable you to easily change your preferences and choose which notifications you prefer, where and when you want to be notified.
What options are available for users when setting their notification preferences in Next Experience?",Select 3 Answers from the below options.,"Create, edit, or delete system notifications for a particular channel. + Enable or disable a particular channel for receiving notifications. + Set global notification preferences for all active users in the system. + Create, edit, or delete notification channels for instant messages, email, SMS, and voice. + Create custom notifications by subscribing to system notifications and applying desired conditions.","Enable or disable a particular channel for receiving notifications. + Create, edit, or delete notification channels for instant messages, email, SMS, and voice. + Create custom notifications by subscribing to system notifications and applying desired conditions.",5,3,10,0,0,0,,
207,Exam 4,Question 32,Easy,Platform Overview and Navigation,What is the primary way to interact with the applications and information in a ServiceNow instance?,,Service Portal + Workspace + ServiceNow Mobile Apps + Application Programming Interface (API) + Next Experience Unified Navigation,Next Experience Unified Navigation,5,1,3,0,0,0,,
208,Exam 4,Question 33,Hard,Configuring Applications for Collaboration,Under which tab within the email notification configuration can you identify if a record insert or update triggers a notification?,,What it will contain + Who will receive + When to send + What Digest will contain,When to send,4,1,10,0,0,0,,
209,Exam 4,Question 34,Easy,Configuring Applications for Collaboration,Which of the following statements are true about Dashboards?,Select 2 Answers from the below options.,All users can view all dashboards. + Applications are allowed to have only one Dashboard. + Dashboards can contain widgets and tabs. + Dashboards are configured using a drag and drop canvas. + Dashboards can have a maximum of four widgets.,Dashboards can contain widgets and tabs. + Dashboards are configured using a drag and drop canvas.,5,2,14,0,0,0,,
210,Exam 4,Question 35,Easy,Database Management,(Washington DC) How can you access the Form Builder in ServiceNow?,Select 4 Answers from the below options.,From Catalog Builder + From Table Builder + From Form Designer + From the forms on the Now Platform + From UI Builder + From Related Links,From Table Builder + From the forms on the Now Platform + From UI Builder + From Related Links,6,4,11,0,0,1,,
211,Exam 5,Question 16,Medium,Self-Service & Automation,At what levels can User Criteria be used in Knowledge Management to control who can read and contribute?,Select 3 Answers from the below options.,Knowledge Category + Knowledge Article + Knowledge Block + Knowledge Base,Knowledge Article + Knowledge Block + Knowledge Base,4,3,11,0,0,0,,
212,Exam 5,Question 17,Easy,Self-Service & Automation,What role can manage all aspects of the Service Catalog application and the scripting functions?,,Catalogue managers (catalog_manager) + Catalogue administrators (catalog_admin) + Catalogue editors (catalog_editor) + Administrators (admin),Administrators (admin),4,1,11,0,0,0,,
213,Exam 5,Question 18,Medium,Self-Service & Automation,Which portal allows you to discover catalogue items and record producers based on their topics and taxonomy?,,Knowledge Portal + Employee Center + Self-Service Portal + Service Portal + Service Workspace Portal,Employee Center,5,1,16,0,0,0,,
214,Exam 5,Question 19,Easy,Self-Service & Automation,Which of the following business needs can be addressed by Flow Designer?,Select 3 Answers from the below options.,"To integrate with 3rd party systems. + To enhance processes using a ServiceNow Instance that is running Jakarta or prior. + To orchestrate business processes across services with little technical user knowledge. + To redevelop existing logic already built using the ServiceNow workflow editor. + To reduce technical debt, such as reducing scripting to simplify upgrades and deployments.","To integrate with 3rd party systems. + To orchestrate business processes across services with little technical user knowledge. + To reduce technical debt, such as reducing scripting to simplify upgrades and deployments.",5,3,7,0,0,0,,
215,Exam 5,Question 20,Medium,Database Management,What are the three sections of an Access Control record that must evaluate to true to grant access to a resource?,Select 3 Answers from the below options.,Requires Role + Script + Condition Script + Condition + Advanced,Requires Role + Script + Condition,5,3,12,0,0,0,,
216,Exam 5,Question 36,Hard,Data Migration and Integration,When do onSubmit Client Scripts execute their script logic?,Select 3 Answers from the below options.,When a user clicks the Delete button + When a user clicks the Submit button + When a user clicks the Update button + When a user clicks the Save menu item in the Additional Actions menu + When a user clicks the Lookup button on a reference field,When a user clicks the Submit button + When a user clicks the Update button + When a user clicks the Save menu item in the Additional Actions menu,5,3,17,0,0,0,,
217,Exam 5,Question 37,Medium,Database Management,Which field on a Configuration Item (CI) record is recommended for routing Incidents to the appropriate group to resolve CI-related incidents quickly?,,Assignment Group + Approval Group + Support Group + Managed By Group + Change Group,Support Group,5,1,11,0,0,0,,
218,Exam 5,Question 38,Easy,Platform Overview and Navigation,What are the three key attributes of every field?,Select 3 Answers from the below options.,Field Label + Location + ID + Value + Field Name,Field Label + Value + Field Name,5,3,13,0,0,1,,
219,Exam 5,Question 39,Medium,Configuring Applications for Collaboration,"The VIP value for a user is set to true on the [sys_user] table. The user is listed as the Caller of an incident.
Which of the following statements are true in a baseline platform configuration?",Select 2 Answers from the below options.,"""The users name is shown in red in the Caller field."" + ""The SLA workflow conditions for VIP trigger additional notifications to the manager of the Assignment group."" + ""A VIP decoration is displayed next to the Caller field."" + The priority field calculation is adjusted to increase Priority by 1.","""The users name is shown in red in the Caller field."" + ""A VIP decoration is displayed next to the Caller field.""",4,2,13,0,0,0,,
220,Exam 5,Question 40,Easy,Self-Service & Automation,Where can fulfillers navigate to find catalogue tasks assigned to them and their groups to fulfil requests?,Select 2 Answers from the below options.,All > Service Catalog > My Groups Work + All > Service Desk > My Work + All > Service Catalog > My Work + All > Service Desk > My Groups Work,All > Service Desk > My Work + All > Service Desk > My Groups Work,4,2,10,0,0,0,,
221,Exam 5,Question 41,Hard,Data Migration and Integration,"An update set is a group of configuration changes that can be moved from one instance to another; however, not everything is captured. Which of the following are automatically captured in an update set?",Select 3 Answers from the below options.,Roles + Schedules + Fields + Views + Tasks,Roles + Fields + Views,5,3,11,0,0,0,,
222,Exam 5,Question 42,Easy,Database Management,What do you use to control access to features and capabilities in ServiceNow applications and modules?,,Company + Organisation + Group + Department + Role,Role,5,1,14,0,0,0,,
223,Exam 5,Question 43,Easy,Platform Overview and Navigation,How can one user temporarily become another user for testing purposes?,,"Select a user to impersonate with the User Picker in the banner. + Open the User menu and select the Impersonate User menu item. Select a user to impersonate. + Open User Administration > Impersonate User and select a user to impersonate. + Open the User menu and select the Elevate Roles menu item. Select a user to impersonate. + Open User Administration > Users, select a user, and click the Impersonate User related link.",Open the User menu and select the Impersonate User menu item. Select a user to impersonate.,5,1,13,0,0,0,,
224,Exam 5,Question 44,Easy,Configuring Applications for Collaboration,"Who has access to create, edit or delete sorting criteria in Visual Task Boards?",,Users with vtb_admin role + The owner of the board + Primary and additional assignees of the board cards + All board members,The owner of the board,4,1,13,0,0,0,,
225,Exam 5,Question 45,Easy,Configuring Applications for Collaboration,Which of the following is a key difference between Reporting and Performance Analytics?,,"Performance Analytics is a replacement for the legacy ServiceNow Reporting functionality. + Reports can be run on a scheduled basis; Performance Analytics cannot. + Performance Analytics can show trends; Reports cannot. + Reports can generate accurate historical trends; Performance Analytics is limited in time. + ""Performance Analytics answers the question of Where are we today?; Reports answer Where do we want to be?."" + Performance Analytics data can be published to dashboards; Reports cannot. + Performance Analytics can show snapshots of data taken over time; Reports can only show the current snapshot of data.",Performance Analytics can show snapshots of data taken over time; Reports can only show the current snapshot of data.,7,1,13,0,0,0,,
226,Exam 5,Question 46,Easy,Self-Service & Automation,Which of the following definitions corresponds to Service Catalogue?,,It contains a collection of orderable products and services. + Products placed in the shopping cart + A customised interface used to build and submit an order + A collection of one or more ordered items,It contains a collection of orderable products and services.,4,1,17,0,0,0,,
227,Exam 5,Question 47,Medium,Instance Configuration,What is the purpose of Embedded Help on the ServiceNow platform?,Select 4 Answers from the below options.,"Provide specific written or video-based instructions for a custom application + ""Provide help if the users preferred language is English"" + Display content based on query parameter values + Coach users on using a custom application + Display content based on user role",Provide specific written or video-based instructions for a custom application + Display content based on query parameter values + Coach users on using a custom application + Display content based on user role,5,4,12,0,0,0,,
228,Exam 5,Question 48,Medium,Database Management,Which of the following can be used to create configuration items (CIs) in the CMDB?,Select 3 Answers from the below options.,Creation via service catalogue fulfilment processes + Creation via the incident management process + Creation triggered by asset management + Creation via the change management process,Creation via service catalogue fulfilment processes + Creation triggered by asset management + Creation via the change management process,4,3,4,0,0,0,,
229,Exam 5,Question 49,Medium,Self-Service & Automation,What happens if you select Publish when creating knowledge articles manually or by import?,,It triggers the publish workflow assigned to the knowledge base. + The articles are sent for approval. + The articles are sent for review. + The articles are automatically moved to a Published state.,It triggers the publish workflow assigned to the knowledge base.,4,1,18,0,0,0,,
230,Exam 5,Question 50,Easy,Data Migration and Integration,(Washington DC) What ServiceNow product allows you to create request-fulfilment applications without writing code?,,ServiceNow Studio + App Engine Studio + Guided Application Creator + Creator Studio,Creator Studio,4,1,9,0,0,0,,
231,Exam 5,Question 51,Medium,Database Management,What are the possible data source file formats for an import set?,Select 4 Answers from the below options.,TXT + XML + CSV + JSON + XLSX,XML + CSV + JSON + XLSX,5,4,9,0,0,0,,
232,Exam 5,Question 52,Medium,Instance Configuration,"Which module allows you to customise your instances' banner image, browser tab title and background colour?",,Reports > Administration > Color Definition + Now Experience Framework > Themes + System UI > UI Pages > Branding + Service Portal > Headers & Footers + Conversational Interfaces > Branding and Chat Menu + System Properties > Basic Configuration UI16,System Properties > Basic Configuration UI16,6,1,16,0,0,1,,
233,Exam 5,Question 53,Easy,Instance Configuration,What are the components of the Now Platform Core UI interface?,Select 3 Answers from the below options.,Content frame + Workspace + Banner frame + Application navigator + Sidebar,Content frame + Banner frame + Application navigator,5,3,7,0,0,0,,
234,Exam 5,Question 54,Easy,Configuring Applications for Collaboration,Which of the following are the data visualisation formats in ServiceNow?,Select 3 Answers from the below options.,Databases + Tables + Dashboards + Form Charts + Reports,Dashboards + Form Charts + Reports,5,3,13,0,0,1,,
235,Exam 5,Question 55,Easy,Data Migration and Integration,How is it possible for a non-administrator to develop and deploy applications on the Now Platform?,,It is not necessary for a non-administrator to develop or deploy applications. + Ask the administrators to do it since only administrators have this level of access. + It is not possible to develop or deploy applications in ServiceNow. + Use delegated development and deployment application.,Use delegated development and deployment application.,4,1,14,0,0,0,,
236,Exam 5,Question 56,Easy,Database Management,Which of the following should you do before importing data into ServiceNow?,Select 3 Answers from the below options.,Understand the data you plan to import. + Decide what to do with incomplete or erroneous data. + Determine which source data maps to which target fields. + Delete all the existing target table records to avoid conflicts.,Understand the data you plan to import. + Decide what to do with incomplete or erroneous data. + Determine which source data maps to which target fields.,4,3,12,0,0,0,,
237,Exam 5,Question 57,Easy,Platform Overview and Navigation,What are the three reasons to use ServiceNow Mobile apps?,Select 3 Answers from the below options.,"A global search to find people, services, items, and articles + Allows multiple logins to an instance + No authentication is required to access the data + Ability to submit, view, and update requests, issues, and tasks + Push notifications for instant access to critical information","A global search to find people, services, items, and articles + Ability to submit, view, and update requests, issues, and tasks + Push notifications for instant access to critical information",5,3,11,0,0,0,,
238,Exam 5,Question 58,Hard,Database Management,Which of the following are possible outcomes when coalescing detects a match between a record in the staging table and a record in the target table?,Select 2 Answers from the below options.,Halt the import and ask the user what to do. + Overwrite the record in the target table with the source data. + Create duplicate records. + Stop the import and delete the previously imported records. + Keep the record already in the target table.,Overwrite the record in the target table with the source data. + Keep the record already in the target table.,5,2,11,0,0,0,,
239,Exam 5,Question 59,Medium,Configuring Applications for Collaboration,Which of the following describes creating a field on a table with Form Designer?,,"From the Fields tab, drag the field onto the form and configure the field. + Click the New Field button in the form section and configure the field. + From the Fields tab, drag the Fields type onto the form and configure the field. + Double-click Insert a new row... in the form to enter details for the new field. + From the Field Types tab, drag the field type onto the form and configure the field.","From the Field Types tab, drag the field type onto the form and configure the field.",5,1,9,0,0,0,,
240,Exam 5,Question 60,Easy,Self-Service & Automation,Who can create additional ad-hoc tasks for a requested item?,,The requester + Fulfillers with permissions + Any of the fulfillers + Any of the approvers,Fulfillers with permissions,4,1,12,0,0,0,,
